,AAPL,PETS,STMP,VZ,SO,T,FXY,FXB,FXF,VCLT
2016-11-15,102.31829071044922,19.694225311279297,108.8499984741211,40.952396392822266,41.39125061035156,30.69350242614746,88.37999725341797,121.6500015258789,95.45999908447266,77.8538589477539
2016-11-16,105.06945037841797,19.586265563964844,108.5,41.43653106689453,41.46830368041992,31.01070213317871,88.44999694824219,121.37000274658203,95.36000061035156,78.16889190673828
2016-11-17,105.0312271118164,19.658241271972656,109.1500015258789,41.35871505737305,41.147789001464844,31.227739334106445,87.75,121.26000213623047,94.9000015258789,77.36381530761719
2016-11-18,105.13632202148438,19.784194946289062,112.0999984741211,41.557559967041016,40.827266693115234,31.352949142456055,87.08000183105469,120.58000183105469,94.62000274658203,76.91751861572266
2016-11-21,106.73160552978516,19.70322608947754,112.69999694824219,41.76504898071289,41.182437896728516,31.503202438354492,86.87999725341797,121.95999908447266,94.66999816894531,77.08379364013672
2016-11-22,106.79847717285156,19.685232162475586,112.0,42.785186767578125,41.234413146972656,32.1793327331543,86.86000061035156,121.18000030517578,94.4800033569336,77.21504211425781
2016-11-23,106.25397491455078,19.847169876098633,112.94999694824219,43.424922943115234,40.91389465332031,32.329586029052734,85.72000122070312,121.41000366210938,93.98999786376953,77.16253662109375
2016-11-25,106.78893280029297,20.08109474182129,113.44999694824219,43.80531692504883,41.390342712402344,32.73027420043945,85.20999908447266,121.5999984741211,94.25,77.11878204345703
2016-11-28,106.57876586914062,19.685232162475586,111.25,44.19435501098633,41.84947204589844,33.0057373046875,86.08999633789062,121.1500015258789,94.2699966430664,77.48629760742188
2016-11-29,106.47370147705078,19.802186965942383,110.55000305175781,44.056034088134766,41.84947204589844,32.95565414428711,85.80000305175781,121.94999694824219,94.37999725341797,77.77509307861328
2016-11-30,105.57573699951172,19.640243530273438,106.19999694824219,43.13964080810547,40.5587272644043,32.246124267578125,84.26000213623047,122.11000061035156,93.95999908447266,77.13630676269531
2016-12-01,104.59181213378906,20.333009719848633,104.8499984741211,43.11370086669922,40.3594856262207,32.454811096191406,84.62000274658203,122.91000366210938,94.55000305175781,76.47405242919922
2016-12-02,104.98347473144531,20.162067413330078,105.9000015258789,43.06183624267578,40.506744384765625,32.229427337646484,84.97000122070312,124.2300033569336,94.5,76.95712280273438
2016-12-05,104.22882080078125,20.404979705810547,108.5999984741211,43.00996398925781,40.60204315185547,32.246124267578125,84.79000091552734,124.20999908447266,94.8499984741211,77.25575256347656
2016-12-06,105.0312271118164,20.324010848999023,110.0,43.53731918334961,40.654014587402344,32.84713363647461,84.61000061035156,123.69000244140625,94.5,77.25575256347656
2016-12-07,106.06292724609375,20.61191177368164,110.19999694824219,44.419132232666016,40.84459686279297,33.76535415649414,84.83000183105469,123.2300033569336,94.8499984741211,77.89692687988281
2016-12-08,107.10417175292969,20.62990379333496,112.8499984741211,44.202999114990234,41.069828033447266,33.731964111328125,84.66000366210938,122.81999969482422,93.97000122070312,77.27330017089844
2016-12-09,108.852294921875,20.521942138671875,114.19999694824219,44.514225006103516,41.52894973754883,33.70691680908203,83.69999694824219,122.72000122070312,93.80999755859375,76.7375259399414
2016-12-12,108.23138427734375,20.386987686157227,112.37999725341797,44.74763870239258,42.20464324951172,34.32462692260742,83.87000274658203,123.72000122070312,94.20999908447266,76.96590423583984
